,STATE/UT,YEAR,POPULATION,MALES,FEMALES,MALES(per_100k),FEMALES(per_100k),TOTAL IPC CRIMES,TOTAL IPC CRIMES(per_100k),ARSON,ARSON(per_100k),ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(per_100k),ATTEMPT TO MURDER,ATTEMPT TO MURDER(per_100k),AUTO THEFT,AUTO THEFT(per_100k),BURGLARY,BURGLARY(per_100k),CAUSING DEATH BY NEGLIGENCE,CAUSING DEATH BY NEGLIGENCE(per_100k),CHEATING,CHEATING(per_100k),COUNTERFIETING,COUNTERFIETING(per_100k),CRIMINAL BREACH OF TRUST,CRIMINAL BREACH OF TRUST(per_100k),CRUELTY BY HUSBAND OR HIS RELATIVES,CRUELTY BY HUSBAND OR HIS RELATIVES(per_100k),CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER(per_100k),CUSTODIAL RAPE,CUSTODIAL RAPE(per_100k),DACOITY,DACOITY(per_100k),DOWRY DEATHS,DOWRY DEATHS(per_100k),HURT/GREVIOUS HURT,HURT/GREVIOUS HURT(per_100k),IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES(per_100k),INSULT TO MODESTY OF WOMEN,INSULT TO MODESTY OF WOMEN(per_100k),KIDNAPPING & ABDUCTION,KIDNAPPING & ABDUCTION(per_100k),KIDNAPPING AND ABDUCTION OF OTHERS,KIDNAPPING AND ABDUCTION OF OTHERS(per_100k),KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS(per_100k),MURDER,MURDER(per_100k),OTHER RAPE,OTHER RAPE(per_100k),OTHER THEFT,OTHER THEFT(per_100k),PREPARATION AND ASSEMBLY FOR DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY(per_100k),RAPE,RAPE(per_100k),RIOTS,RIOTS(per_100k),ROBBERY,ROBBERY(per_100k),THEFT,THEFT(per_100k),OTHER IPC CRIMES,OTHER IPC CRIMES(per_100k)
0,A&N Islands,2001,356,193,163,54213.48314606742,45786.51685393258,1316,369662.9213483146,8,2247.191011235955,38,10674.157303370786,0,0.0,8,2247.191011235955,128,35955.05617977528,0,0.0,16,4494.38202247191,4,1123.5955056179776,20,5617.9775280898875,18,5056.179775280899,0,0.0,0,0.0,0,0.0,0,0.0,236,66292.13483146067,0,0.0,2,561.7977528089888,4,1123.5955056179776,0,0.0,4,1123.5955056179776,26,7303.3707865168535,6,1685.3932584269662,122,34269.66292134832,0,0.0,6,1685.3932584269662,26,7303.3707865168535,8,2247.191011235955,130,36516.85393258427,646,181460.67415730338
1,Andhra Pradesh,2001,76210,38527,37683,50553.73310589162,49446.26689410839,260178,341396.14223855134,1744,2288.4135940165334,7088,9300.616716966277,3110,4080.8292874950794,6102,8006.823251541792,14440,18947.644666054322,14800,19420.02361894764,10782,14147.749639154967,288,377.90316231465687,1576,2067.9700826663166,11582,15197.480645584568,272,356.9085421860648,0,0.0,428,561.6060884398373,840,1102.2175567510826,69894,91712.37370423829,14,18.370292612518043,4542,5959.847789004068,2364,3101.9551239994753,834,1094.3445742028605,1530,2007.6105497966148,5204,6828.500196824563,1742,2285.7892665004592,27400,35953.286970213885,18,23.618947644666054,1742,2285.7892665004592,6002,7875.606875738092,1258,1650.7020076105498,33502,43960.110221755676,68688,90129.90421204566
2,Arunachal Pradesh,2001,1098,580,518,52823.315118397084,47176.684881602916,4684,426593.8069216758,26,2367.941712204007,156,14207.650273224042,106,9653.91621129326,72,6557.377049180328,496,45173.04189435337,0,0.0,60,5464.48087431694,8,728.5974499089253,82,7468.123861566485,22,2003.6429872495446,6,546.448087431694,0,0.0,44,4007.285974499089,0,0.0,932,84881.60291438979,0,0.0,6,546.448087431694,166,15118.397085610199,56,5100.1821493624775,110,10018.214936247723,166,15118.397085610199,66,6010.928961748634,814,74134.79052823315,4,364.29872495446267,66,6010.928961748634,48,4371.584699453552,168,15300.546448087433,886,80692.16757741348,1236,112568.30601092895
3,Assam,2001,26656,13777,12878,51684.423769507805,48311.82472989195,73754,276688.17527010804,882,3308.823529411765,1700,6377.551020408164,962,3608.9435774309723,700,2626.0504201680674,4846,18179.771908763505,4020,15081.032412965187,1150,4314.225690276111,92,345.13805522208884,748,2806.122448979592,2496,9363.74549819928,80,300.1200480192077,0,0.0,1064,3991.596638655462,118,442.6770708283313,11610,43554.921968787516,0,0.0,8,30.012004801920767,2960,11104.441776710684,820,3076.2304921968785,2140,8028.211284513806,2712,10174.06962785114,1634,6129.951980792317,10034,37642.557022809124,28,105.04201680672269,1634,6129.951980792317,5906,22156.362545018008,1374,5154.561824729892,10734,40268.60744297719,18630,69890.45618247299
4,Bihar,2001,82999,43244,39755,52101.83255219943,47898.16744780057,176864,213091.72399667467,1004,1209.6531283509441,1124,1354.2331835323316,6838,8238.653477752745,2100,2530.150965674285,6466,7790.455306690442,4812,5797.660212773648,3318,3997.6385257653706,170,204.8217448402993,1892,2279.5455366932133,3116,3754.262099543368,500,602.4168965891155,0,0.0,2582,3110.880853986193,1718,2069.9044566802013,15088,18178.53227147315,166,200.00240966758633,42,50.6030193134857,4318,5202.472318943602,3282,3954.264509210954,1036,1248.2078097326473,7286,8778.419017096592,1776,2139.7848166845383,17302,20846.034289569754,294,354.22113519439995,1776,2139.7848166845383,17212,20737.599248183713,4406,5308.497692743286,19402,23376.18525524404,73334,88355.28138893239
5,Chandigarh,2001,901,507,394,56270.8102108768,43729.18978912319,6794,754051.0543840177,10,1109.8779134295228,48,5327.413984461709,20,2219.7558268590456,988,109655.93784683685,728,80799.11209766926,12,1331.8534961154273,310,34406.2153163152,4,443.9511653718091,52,5771.365149833518,72,7991.120976692565,12,1331.8534961154273,0,0.0,10,1109.8779134295228,6,665.9267480577137,190,21087.68035516093,0,0.0,30,3329.6337402885683,112,12430.632630410655,12,1331.8534961154273,100,11098.779134295228,30,3329.6337402885683,36,3995.5604883462825,2070,229744.7280799112,0,0.0,36,3995.5604883462825,182,20199.778024417315,44,4883.4628190899,3058,339400.6659267481,1828,202885.68257491675
6,Chhattisgarh,2001,20834,10474,10360,50273.59124508016,49726.408754919845,76920,369204.1854660651,430,2063.9339541134686,3526,16924.25842373044,1058,5078.237496400116,1840,8831.71738504368,8288,39781.12700393587,1378,6614.18834597293,804,3859.076509551694,16,76.79754247864068,308,1478.3526927138332,1680,8063.741960257272,90,431.9861764423539,0,0.0,174,835.1732744552174,140,671.978496688106,10954,52577.517519439374,0,0.0,322,1545.5505423826437,414,1987.1364116348277,72,345.58894115388307,342,1641.5474704809446,1760,8447.729672650476,1918,9206.105404627051,7784,37362.00441585869,38,182.39416338677162,1918,9206.105404627051,1742,8361.332437362003,676,3244.696169722569,9624,46193.72180090237,31580,151579.14946721704
7,D&N Haveli,2001,220,122,99,55454.545454545456,45000.0,700,318181.8181818182,2,909.090909090909,14,6363.636363636363,4,1818.181818181818,30,13636.363636363636,68,30909.090909090908,0,0.0,24,10909.090909090908,2,909.090909090909,26,11818.181818181818,8,3636.363636363636,0,0.0,0,0.0,0,0.0,0,0.0,58,26363.63636363636,0,0.0,0,0.0,8,3636.363636363636,4,1818.181818181818,4,1818.181818181818,6,2727.272727272727,12,5454.545454545454,60,27272.727272727272,0,0.0,12,5454.545454545454,8,3636.363636363636,4,1818.181818181818,90,40909.09090909091,366,166363.63636363635
8,Daman & Diu,2001,158,93,66,58860.75949367089,41772.15189873418,478,302531.64556962025,6,3797.46835443038,0,0.0,10,6329.113924050634,40,25316.455696202534,86,54430.379746835446,0,0.0,18,11392.405063291139,2,1265.8227848101264,10,6329.113924050634,8,5063.291139240506,0,0.0,0,0.0,0,0.0,0,0.0,42,26582.278481012654,0,0.0,0,0.0,10,6329.113924050634,4,2531.645569620253,6,3797.46835443038,14,8860.759493670887,0,0.0,40,25316.455696202534,0,0.0,0,0.0,46,29113.92405063291,0,0.0,80,50632.91139240507,146,92405.06329113925
9,Delhi UT,2001,13851,7607,6243,54920.22236661614,45072.55793805501,108768,785271.8215291315,100,721.9695328857122,1004,7248.574110172551,1020,7364.089235434265,15788,113984.54985199624,6058,43736.91430221644,864,6237.8167641325535,4366,31521.189805790196,84,606.4544076239982,958,6916.468125045123,276,1992.6359107645658,126,909.6816114359973,0,0.0,96,693.0907515702837,226,1631.6511443217098,4022,29037.614612663347,0,0.0,180,1299.545159194282,3254,23492.888600101076,1326,9573.316006064544,1928,13919.57259403653,1094,7898.346689769692,762,5501.407840589127,22764,164349.14446610355,148,1068.514908670854,762,5501.407840589127,330,2382.4994585228505,1248,9010.179770413688,38552,278333.69431809976,44000,317666.5944697134
